Date,Open,High,Low,Close,Volume,Adj Close
2006-03-27,2495.72,2507.78,2493.89,2504.23,134160400,2504.23
2006-03-24,2494.91,2500.55,2489.47,2497.31,126361600,2497.31
2006-03-23,2491.08,2497.16,2487.76,2491.64,133364000,2491.64
2006-03-22,2495.84,2502.58,2477.73,2489.27,214007400,2489.27
2006-03-21,2499.27,2504.94,2494.14,2497.17,1019911000,2497.17
2006-03-20,2506.60,2513.41,2504.07,2512.60,143401200,2512.60
2006-03-17,2502.25,2502.69,2490.54,2494.41,163695000,2494.41
2006-03-16,2504.54,2504.54,2494.35,2498.93,183489000,2498.93
2006-03-15,2506.89,2512.61,2497.22,2498.02,165703200,2498.02
2006-03-14,2513.02,2513.78,2499.44,2506.70,150365800,2506.70
2006-03-13,2506.10,2513.83,2503.33,2512.14,125884400,2512.14
2006-03-10,2498.36,2504.04,2493.97,2496.73,141727800,2496.73
2006-03-09,2499.29,2505.38,2492.25,2504.25,146022000,2504.25
2006-03-08,2496.37,2502.60,2473.49,2502.60,204361800,2502.60
2006-03-07,2510.80,2517.13,2489.15,2489.15,186199600,2489.15
2006-03-06,2495.88,2513.64,2494.00,2512.88,155498000,2512.88
2006-03-03,2488.19,2493.43,2483.82,2493.43,136963000,2493.43
2006-03-02,2493.54,2499.16,2480.30,2480.30,191687600,2480.30
2006-03-01,2472.03,2488.81,2470.56,2482.67,158035400,2482.67
2006-02-28,2462.01,2490.46,2462.01,2481.96,188578400,2481.96
2006-02-27,2462.22,2477.37,2455.01,2477.37,148659200,2477.37
2006-02-24,2437.29,2456.72,2434.59,2453.67,161541800,2453.67
2006-02-23,2437.31,2440.03,2428.64,2435.58,177613200,2435.58
2006-02-22,2442.58,2443.11,2427.89,2427.89,138890200,2427.89
2006-02-21,2437.02,2448.66,2437.02,2443.56,130607800,2443.56
2006-02-20,2427.62,2436.74,2423.96,2431.77,145838400,2431.77
2006-02-17,2447.29,2451.90,2429.70,2431.34,170539200,2431.34
2006-02-16,2433.99,2449.53,2431.05,2434.66,172178400,2434.66
2006-02-15,2447.67,2447.67,2415.03,2424.17,306073400,2424.17
2006-02-14,2433.76,2447.19,2425.78,2440.98,174099600,2440.98
2006-02-13,2427.35,2438.54,2424.38,2429.50,161479200,2429.50
2006-02-10,2431.56,2435.22,2420.85,2423.59,178923000,2423.59
2006-02-09,2442.29,2444.59,2428.08,2431.62,229102000,2431.62
2006-02-08,2443.94,2445.27,2423.03,2428.25,187538600,2428.25
2006-02-07,2444.16,2450.36,2441.22,2448.73,170779000,2448.73
2006-02-06,2426.64,2441.08,2420.50,2441.08,183641800,2441.08
2006-02-03,2431.44,2437.21,2425.83,2431.72,187915000,2431.72
2006-02-02,2443.43,2449.00,2435.39,2441.39,195077600,2441.39
2006-02-01,2425.67,2433.86,2420.96,2431.74,239201600,2431.74
2006-01-31,2400.73,2412.08,2400.73,2412.08,279248200,2412.08
2006-01-30,2400.73,2412.08,2400.73,2412.08,279248200,2412.08
2006-01-27,2400.73,2416.80,2395.17,2412.08,279248200,2412.08
2006-01-26,2380.91,2388.73,2375.56,2388.22,194336800,2388.22
2006-01-25,2375.34,2387.78,2374.73,2378.64,186491600,2378.64
2006-01-24,2373.25,2385.52,2368.32,2368.32,155670600,2368.32
2006-01-23,2372.11,2378.16,2353.69,2364.97,158759200,2364.97
2006-01-20,2385.34,2395.42,2377.37,2388.91,175220800,2388.91
2006-01-19,2371.21,2383.39,2367.94,2378.52,182100200,2378.52
2006-01-18,2365.96,2375.53,2352.19,2359.30,233088800,2359.30
2006-01-17,2402.03,2412.16,2374.41,2376.96,218903000,2376.96
2006-01-16,2407.20,2413.56,2398.82,2401.20,159713200,2401.20
2006-01-13,2410.79,2415.04,2401.57,2405.86,263162600,2405.86
2006-01-12,2423.87,2425.77,2403.47,2407.38,182041200,2407.38
2006-01-11,2435.94,2440.71,2414.95,2418.65,219082800,2418.65
2006-01-09,2423.89,2433.31,2421.22,2425.99,173627600,2425.99
2006-01-06,2407.14,2423.44,2401.54,2420.74,172833800,2420.74
2006-01-05,2392.52,2414.74,2392.42,2403.75,207309000,2403.75
2006-01-04,2383.83,2396.58,2382.14,2384.14,215817400,2384.14
2006-01-03,2354.59,2373.16,2353.41,2369.37,127926400,2369.37
2005-12-30,2351.03,2355.92,2342.10,2347.34,110476600,2347.34
2005-12-29,2334.94,2348.47,2333.04,2345.38,82557800,2345.38
2005-12-28,2332.89,2338.57,2325.61,2337.89,68563200,2337.89
2005-12-27,2331.12,2334.94,2327.89,2334.94,53958000,2334.94
2005-12-23,2329.43,2335.00,2325.50,2328.29,97002400,2328.29
